ANIMI,AKOOD,TYYP,ONIMI,OKOOD,MNIMI,MKOOD,AREA
Koidu küla,3285,8,Saue vald,0727,Harju maakond,0037,1887491.3357287426
Püha küla,6652,8,Saue vald,0727,Harju maakond,0037,4331793.54091791
Pällu küla,6588,8,Saue vald,0727,Harju maakond,0037,4790103.487090995
Pärinurme küla,6603,8,Saue vald,0727,Harju maakond,0037,5962776.042745812
Laagri alevik,4014,7,Saue vald,0727,Harju maakond,0037,5991052.288519953
Valingu küla,8946,8,Saue vald,0727,Harju maakond,0037,6542757.687618178
Aila küla,1141,8,Saue vald,0727,Harju maakond,0037,7673014.037078372
Kiia küla,3025,8,Saue vald,0727,Harju maakond,0037,9678512.007922662
Vanamõisa küla,9033,8,Saue vald,0727,Harju maakond,0037,10246090.274322113
Vatsla küla,9146,8,Saue vald,0727,Harju maakond,0037,10356854.91874609
Jõgisoo küla,2267,8,Saue vald,0727,Harju maakond,0037,11041287.637740398
Alliku küla,1216,8,Saue vald,0727,Harju maakond,0037,11043223.131317398
Hüüru küla,1975,8,Saue vald,0727,Harju maakond,0037,12937779.851064555
Koppelmaa küla,3439,8,Saue vald,0727,Harju maakond,0037,13502357.921874778
Ääsmäe küla,9794,8,Saue vald,0727,Harju maakond,0037,16647623.775915341
Tagametsa küla,8045,8,Saue vald,0727,Harju maakond,0037,18820620.9627898
Tuula küla,8450,8,Saue vald,0727,Harju maakond,0037,20179514.601114288
Maidla küla,4739,8,Saue vald,0727,Harju maakond,0037,23105654.886742603
